OID,N,N_study,Source,BASE,X,Y,Precise,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Sample_met,Occurrence,Sample_yea,Sampling_e,Sampling_1,ID_Todo,TRAITS,BodyMass_k,DielActivi,HomeRange_,Locomotion,TrophicGui,Brain_size,Canine_Dim,MeanGroupS,Interbirth,Gestation,WeaningAge,MaxLongevi,LitterSz,AdultSexRa,Social_Sys,Mating_Sys,FOREST,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new
-1,8047,263,Onderdonk & Chapman 2000,Richness,30.3034,0.517333333,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,23,75,75
-1,8048,263,Onderdonk & Chapman 2000,Richness,30.30695278,0.519116667,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,24,75,75
-1,8049,263,Onderdonk & Chapman 2000,Richness,30.309175,0.531916667,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,25,75,75
-1,8050,263,Onderdonk & Chapman 2000,Richness,30.311275,0.528333333,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,26,75,75
-1,8051,263,Onderdonk & Chapman 2000,Richness,30.31536944,0.530658333,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,27,75,75
-1,8052,263,Onderdonk & Chapman 2000,Richness,30.32058333,0.557166667,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,28,75,75
-1,8053,263,Onderdonk & Chapman 2000,Richness,30.32103333,0.570613889,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,29,75,75
-1,8054,263,Onderdonk & Chapman 2000,Richness,30.322775,0.543197222,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,30,75,75
-1,8055,263,Onderdonk & Chapman 2000,Richness,30.32351111,0.540236111,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,31,75,75
-1,8056,263,Onderdonk & Chapman 2000,Richness,30.33110833,0.528366667,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,32,75,75
-1,9054,239,Boyle et al. 2013,Ocurrencias,-59.875867,-2.406501,Precise,Brazil,Neotropics,Pitheciidae,Chiropotes,Chiropotes satanas chiropotes,Chiropotes_chiropotes,Different methods,1,1995,0,NA,NA,NA,2.74,D,142,AR,Frugivore,NA,NA,NA,730,NA,240,NA,NA,NA,Polygyndry,NA,NA,Tropical_and_suptropical_moist_broadleaf_forest,Chiropotes chiropotes,Least Concern,52,a,Chiropotes_chiropotes_a,33,75,75
-1,9059,239,Boyle et al. 2013,Ocurrencias,-60.100858,-2.337207,Precise,Brazil,Neotropics,Pitheciidae,Chiropotes,Chiropotes satanas chiropotes,Chiropotes_chiropotes,Different methods,0,1995,0,NA,NA,NA,2.74,D,142,AR,Frugivore,NA,NA,NA,730,NA,240,NA,NA,NA,Polygyndry,NA,NA,Tropical_and_suptropical_moist_broadleaf_forest,Chiropotes chiropotes,Least Concern,52,a,Chiropotes_chiropotes_a,34,75,75
-1,9064,239,Boyle et al. 2013,Ocurrencias,-60.108505,-2.337438,Precise,Brazil,Neotropics,Pitheciidae,Chiropotes,Chiropotes satanas chiropotes,Chiropotes_chiropotes,Different methods,0,1995,0,NA,NA,NA,2.74,D,142,AR,Frugivore,NA,NA,NA,730,NA,240,NA,NA,NA,Polygyndry,NA,NA,Tropical_and_suptropical_moist_broadleaf_forest,Chiropotes chiropotes,Least Concern,52,a,Chiropotes_chiropotes_a,35,75,75
-1,9069,239,Boyle et al. 2013,Ocurrencias,-59.969876,-2.373319,Precise,Brazil,Neotropics,Pitheciidae,Chiropotes,Chiropotes satanas chiropotes,Chiropotes_chiropotes,Different methods,0,1995,0,NA,NA,NA,2.74,D,142,AR,Frugivore,NA,NA,NA,730,NA,240,NA,NA,NA,Polygyndry,NA,NA,Tropical_and_suptropical_moist_broadleaf_forest,Chiropotes chiropotes,Least Concern,52,a,Chiropotes_chiropotes_a,36,75,75
-1,10476,263,Onderdonk & Chapman 2000,Richness,30.32359,0.597612,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,1,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,37,75,75
-1,10477,263,Onderdonk & Chapman 2000,Richness,30.321879,0.593395,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,1,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,38,75,75
-1,10478,263,Onderdonk & Chapman 2000,Richness,30.323252,0.592785,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,1,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,39,75,75
-1,10479,263,Onderdonk & Chapman 2000,Richness,30.324214,0.59584,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,1,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,40,75,75
-1,10480,263,Onderdonk & Chapman 2000,Richness,30.28538889,0.50315,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,1,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,41,75,75
-1,10481,263,Onderdonk & Chapman 2000,Richness,30.28604444,0.4994,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,1,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,42,75,75
-1,10482,263,Onderdonk & Chapman 2000,Richness,30.30201111,0.520497222,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,1,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,43,75,75
-1,10483,263,Onderdonk & Chapman 2000,Richness,30.272575,0.463363889,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,0,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,44,75,75
-1,10484,263,Onderdonk & Chapman 2000,Richness,30.28786944,0.505383333,Precise,Uganda,Africa,Cercopithecidae,Colobus,Colobus guereza,Colobus_guereza,Direct observation,1,1995,0,NA,NA,NA,8.89,D,21.725,AR,Folivore_frugivore,74.39,1.459,12,486.66,175,387.79,294,1,1.93,Polygyndry,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Colobus guereza,Least Concern,56,c,Colobus_guereza_c,45,75,75
