"OID","N","N_study","Source","BASE","X","Y","Precise","Country","Realm","Family","Genus","Taxon","Taxon_ITIS","Sample_met","Occurrence","Sample_yea","Sampling_e","Sampling_1","ID_Todo","TRAITS","BodyMass_k","DielActivi","HomeRange_","Locomotion","TrophicGui","Brain_size","Canine_Dim","MeanGroupS","Interbirth","Gestation","WeaningAge","MaxLongevi","LitterSz","AdultSexRa","Social_Sys","Mating_Sys","FOREST","BIOME","TaxonNameIUCN","redlistCategory","species_number","Source_grp","Dataset","row_id","CC","CC_new","nearpatch_ID","metric","treecover","near_p_dist","patch_area","dataset_row_id","row_id_2","row_id_3"
-1,326,533,"Aguiar et al. 2007","Richness",-53.26638889,-22.73888889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2338,75,75,1,"area",0,295.2918524,15.59862419,12,47,32
-1,345,533,"Aguiar et al. 2007","Richness",-53.39777778,-22.81083333,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2357,75,75,1,"area",0,112.2281711,19.28028704,31,48,33
-1,317,533,"Aguiar et al. 2007","Richness",-53.13472222,-22.65111111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2329,75,75,1,"area",0,62.25298853,19.76471637,3,49,34
-1,324,533,"Aguiar et al. 2007","Richness",-53.25805556,-22.81194444,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2336,75,75,1,"area",0,44.01951034,28.48444417,10,50,35
-1,321,533,"Aguiar et al. 2007","Richness",-53.215,-22.79388889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2333,75,75,51,"area",1,0,34.00693845,7,51,36
-1,319,533,"Aguiar et al. 2007","Richness",-53.20722222,-22.7375,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2331,75,75,1,"area",0,132.058531,40.88583483,5,52,37
-1,335,533,"Aguiar et al. 2007","Richness",-53.32694444,-22.78777778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2347,75,75,295,"area",1,0,43.40486731,21,53,38
-1,331,533,"Aguiar et al. 2007","Richness",-53.30694444,-22.84361111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",0,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2343,75,75,85,"area",1,0,51.05885061,17,54,39
-1,325,533,"Aguiar et al. 2007","Richness",-53.26361111,-22.75555556,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2337,75,75,1,"area",0,31.12649427,58.80971977,11,55,40
-1,342,533,"Aguiar et al. 2007","Richness",-53.35527778,-22.8,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2354,75,75,2,"area",0,62.25298853,78.09000682,28,56,41
-1,344,533,"Aguiar et al. 2007","Richness",-53.3825,-22.80055556,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2356,75,75,300,"area",1,0,90.29762575,30,57,42
-1,337,533,"Aguiar et al. 2007","Richness",-53.33472222,-22.86027778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",0,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2349,75,75,40,"area",1,0,117.8132113,23,58,43
-1,338,533,"Aguiar et al. 2007","Richness",-53.33583333,-22.87861111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",0,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2350,75,75,39,"area",1,0,128.2768846,24,59,44
