OID,N,N_study,Source,BASE,X,Y,Precise,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Sample_met,Occurrence,Sample_yea,Sampling_e,Sampling_1,ID_Todo,TRAITS,BodyMass_k,DielActivi,HomeRange_,Locomotion,TrophicGui,Brain_size,Canine_Dim,MeanGroupS,Interbirth,Gestation,WeaningAge,MaxLongevi,LitterSz,AdultSexRa,Social_Sys,Mating_Sys,FOREST,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
-1,170,538,Fialho et al. 2014,Ocurrencias,-34.99244444,-7.600861111,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3237,75,75,226,area,1,0,710.368948,26,22
-1,180,538,Fialho et al. 2014,Ocurrencias,-36.23536111,-9.757416667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3247,75,75,203,area,1,0,726.3096492,36,23
-1,164,538,Fialho et al. 2014,Ocurrencias,-35.08825,-7.192805556,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3231,75,75,246,area,1,0,795.1111813,20,24
-1,183,538,Fialho et al. 2014,Ocurrencias,-36.18222222,-10.03508333,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3250,75,75,4,area,0,60.53535336,934.2716703,39,25
-1,184,538,Fialho et al. 2014,Ocurrencias,-36.29533333,-10.00791667,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3251,75,75,1,area,0,95.7147978,945.9065499,40,26
-1,156,538,Fialho et al. 2014,Ocurrencias,-34.91027778,-6.860277778,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3223,75,75,295,area,1,0,1166.602809,12,27
-1,163,538,Fialho et al. 2014,Ocurrencias,-35.02219444,-7.15275,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3230,75,75,131,area,1,0,1473.140661,19,28
-1,145,538,Fialho et al. 2014,Ocurrencias,-34.97961111,-6.437222222,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3212,75,75,133,area,1,0,1501.357534,1,29
-1,178,538,Fialho et al. 2014,Ocurrencias,-36.06397222,-9.881972222,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3245,75,75,289,area,1,0,1552.019648,34,30
-1,152,538,Fialho et al. 2014,Ocurrencias,-35.10827778,-6.758444444,Precise,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,"Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,days,NA,NA,6.4,D,11.4375,AR,Folivore_frugivore,52.84,1.811,7,NA,190,NA,NA,NA,1,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3219,75,75,489,area,1,0,1614.86632,8,31
